country,id,year,electricity_aid,electricity_access,rural_electricity_access,urban_electricity_access,fdi,gdp,gdp_per_capita,inflation,life_expectancy,popu_growth,popu_total,rural_popu_growth,urban_popu_growth,unemployment,electricity_access_lag,electricity_access_improvement
Ecuador,ECU,2021,47.615739,100,100,100,-648.5671509,9.818417748,13.45200877,0.133251386,73.67,1.182063375,17.797737,0.636395805,4.552,1.485504897,98.9,0.011122346
Ecuador,ECU,2022,151.664493,100,100,100,-880.2948035,6.186139073,15.11727063,3.466169722,77.894,1.135599752,18.001,0.547440268,3.761,1.459802764,100,0
"Egypt, Arab Rep.",EGY,2020,323.884269,100,100,100,-5525.3,3.550164839,15.49407882,5.04493289,70.99,1.733129572,107.465134,1.640542893,7.974,1.857087004,100,0
"Egypt, Arab Rep.",EGY,2021,442.656678,100,100,100,-4755.3,3.290646012,15.82067138,5.214049405,70.221,1.658383679,109.262178,1.520216541,7.441,1.842867363,100,0
"Egypt, Arab Rep.",EGY,2022,750.238808,100,100,100,-11058.1,6.587845609,17.76922374,13.89566098,70.159,1.56907383,110.990103,1.385138878,7.344,1.813746863,100,0
El Salvador,SLV,2020,0.109742,99.7,100,99.1,-2.775428358,-7.89310136,9.306030302,-0.371590212,71.061,0.19906237,6.292731,-2.395355262,5.008,1.153976141,97.4,0.023613963
El Salvador,SLV,2021,0.215998,97.9,94.1,99.2,-373.3712876,11.9047617,10.70975958,3.466925853,70.748,0.340068122,6.314167,-2.230731428,4.327,1.253590142,99.7,-0.018054162
El Salvador,SLV,2022,0.391998,100,100,100,-141.5954766,2.799552169,11.74343733,7.198616156,71.475,0.351368234,6.336392,-2.188145494,2.999,1.223189558,97.9,0.02145046
Eswatini,SWZ,2020,4.983496,80,76.1,92.3,-51.09662653,-1.55964259,9.07723198,3.218818183,59.692,0.939644436,1.180655,0.689419439,34.232,1.728736141,77,0.038961039
Eswatini,SWZ,2021,0.404104,82.9,79.1,94.6,-54.32116908,10.68369388,10.20250961,6.283650859,57.066,0.979052258,1.192271,0.717530297,35.707,1.795086063,80,0.03625
Eswatini,SWZ,2022,13.389742,82.3,81.6,86.1,-35.06131244,0.47576934,10.88700387,12.82912836,56.36,0.785236419,1.20167,0.511263374,37.852,1.630781685,82.9,-0.007237636
Ethiopia,ETH,2020,115.779399,51.1,39.4,93.5,-2395.799881,6.059530886,2.442252484,20.35634686,65.371,2.654859156,117.190911,2.056436253,4.024,4.845067621,48,0.064583333
Ethiopia,ETH,2021,101.580705,54.2,42.8,94.3,-4259.445795,5.641530717,2.628343464,26.83952216,64.975,2.604319283,120.283026,1.990730093,3.935,4.788180355,51.1,0.060665362
Ethiopia,ETH,2022,357.555273,55,43,94,-3669.991332,5.321176284,2.888736492,33.88987971,65.645,2.542089203,123.379924,1.914367621,3.493,4.714586798,54.2,0.014760148
Fiji,FJI,2020,5.187903,97.1,96.9,97.3,-225.9165625,-17.03987084,11.1686399,-2.595243259,67.924,0.21284622,0.920422,-0.942916449,4.623,1.084786284,96.1,0.010405827
Fiji,FJI,2021,0.84414,92.1,86.8,96,-377.6918694,-4.881036196,10.59391273,0.155855722,67.114,0.453976646,0.92461,-0.705902086,4.678,1.311501626,97.1,-0.051493306
Fiji,FJI,2022,3.426662,92,86.8,97.6,-86.91043914,20.01646416,13.53419431,4.520192664,68.312,0.55609146,0.929766,-0.607615913,4.481,1.399308402,92.1,-0.001085776
"Gambia, The",GMB,2020,9.347576,62.2,31,80.9,-193.06,0.591487288,2.473519768,5.931276366,62.612,2.56215325,2.573995,0.837228935,5.858,3.607885889,62.1,0.001610306
"Gambia, The",GMB,2021,25.318156,63.7,31.2,82.6,-251.8226288,5.255968794,2.710552463,7.370347589,62.083,2.52879318,2.639916,0.803605068,6.206,3.546248166,62.2,0.024115756
"Gambia, The",GMB,2022,169.831836,65.4,31.2,82.8,-231.488,4.917821309,2.9697572,11.51311984,62.906,2.472147488,2.705992,0.744358437,6.082,3.463684796,63.7,0.026687598
Georgia,GEO,2020,0.102945,100,100,100,-572.3967341,-6.290471785,16.79125987,5.20246489,72.765,0.068656249,3.722716,-0.947171275,11.73,0.767418224,100,0
Georgia,GEO,2021,104.565998,100,100,99.9,-930.7419996,10.64423366,18.9156534,9.566914338,71.694,-0.379636607,3.70861,-1.418405768,11.794,0.322666414,100,0
Georgia,GEO,2022,177.39395,100,100,100,-1766.267912,10.95853214,22.44278672,11.89816542,71.587,0.104889951,3.712502,-0.959845542,11.657,0.812214346,100,0
Ghana,GHA,2020,10.545926,85.4,73.1,94.6,-1333.368957,0.513941671,5.99231759,9.887289563,64.114,2.066268801,32.180401,0.572246227,3.285,3.192042501,83.5,0.022754491
Ghana,GHA,2021,37.449768,86.3,74,95.2,-2413.884871,5.076466435,6.5442382,9.971088675,63.795,2.00774487,32.833031,0.505341525,3.338,3.110640633,85.4,0.010538642
Ghana,GHA,2022,78.325494,85.1,71.6,95,-1472.56963,3.817504621,7.132783653,31.2558951,63.945,1.938982944,33.47587,0.428164103,3.084,3.019610067,86.3,-0.013904983
Grenada,GRD,2020,0.028106,93.4,95.02,100,-163.9355429,-13.75662226,13.51081442,-0.740732597,74.924,0.762219229,0.123663,0.540448622,12.0504,1.148593596,93,0.004301075
Grenada,GRD,2021,25.0029648,93.7,82.22,94.7,-161.5927042,4.687478169,14.32555485,1.219511939,74.936,0.762873605,0.12461,0.515995705,11.0392,1.190241427,93.4,0.003211991
Grenada,GRD,2022,93.4058988,94.2,99.42,99.68,-144.3726759,7.320740616,16.34817022,2.580539259,75.335,0.662275264,0.125438,0.387151131,4.8158,1.135164957,93.7,0.005336179
Guatemala,GTM,2020,18.0299264,96.6,95.8,97.4,-782.62048,-1.791857695,11.27078233,3.214440622,71.797,1.519987854,16.858333,0.699106194,2.953,2.288806327,95.4,0.012578616
Guatemala,GTM,2021,0.122147,97.9,98.1,97.6,-2985.58877,8.002408036,12.10642254,4.261051274,69.237,1.480316806,17.109746,0.627500193,2.174,2.266255112,96.6,0.013457557
Guatemala,GTM,2022,0.124297,99.1,98.2,97.7,-718.76081,4.118004169,13.29960235,6.885128233,68.674,1.439868495,17.357886,0.554381887,3.051,2.242452955,97.9,0.012257406
Guinea,GIN,2020,19.014572,44.7,19.3,88.3,-173.99,4.920266372,3.395094879,10.60162034,59.327,2.512250121,13.205153,1.919953556,5.993,3.534396425,42.2,0.059241706
Guinea,GIN,2021,18.860626,46.8,21.3,89.8,-200.73,3.9,3.735089827,12.59728826,58.892,2.444317219,13.531906,1.826176313,5.767,3.493701573,44.7,0.046979866
Guinea,GIN,2022,230.955468,47.7,21.3,91,-650.1,4.7,4.087091752,10.493041,58.985,2.390914134,13.859341,1.744853013,5.328,3.469252822,46.8,0.019230769
Guinea-Bissau,GNB,2020,14.747409,33.4,15.1,56.4,-20.67543322,1.5,2.083840421,1.140009394,59.999,2.276453357,2.015828,1.528449923,3.614,3.228982531,30.9,0.080906149
Guinea-Bissau,GNB,2021,21.184122,35.8,15.8,60.5,-17.58297681,6.399952624,2.278023395,2.242488796,59.652,2.202589246,2.060721,1.445262607,3.628,3.150706358,33.4,0.071856287
Guinea-Bissau,GNB,2022,48.049036,37.4,15.8,61,-21.1228779,4.199990232,2.486717546,9.393838775,59.861,2.152839304,2.105566,1.384324041,3.204,3.098652451,35.8,0.044692737
Guyana,GUY,2020,5.078887,92.3,90.5,97.2,-1280.922188,43.47965172,17.03628992,0.993337023,68.486,-0.194366444,0.797202,-0.326880128,15.701,0.16872974,91.6,0.007641921
Guyana,GUY,2021,7.138379,92.9,91.2,97.5,-2234.057115,20.00752973,23.1761332,5.032855746,65.673,0.919614739,0.804567,0.768035889,14.927,1.332754531,92.3,0.006500542
Guyana,GUY,2022,9.312035,93,91.6,98,-437.3458951,63.43986437,40.33759901,6.115055501,65.989,0.515592544,0.808726,0.344378732,12.423,0.979457775,92.9,0.001076426
Haiti,HTI,2020,3.234876,46.3,32.88,80.9,-25,-3.30550547,3.08590305,22.79631136,64.052,1.302919959,11.306801,-0.763589981,15.56,2.884885867,45.4,0.019823789
Haiti,HTI,2021,4.387973,47.2,50.62,81.8,-51.299,-1.798239889,3.114963542,16.84152402,63.192,1.237298997,11.447569,-0.825205318,15.253,2.760112803,46.3,0.019438445
Haiti,HTI,2022,9.423245,49.3,45.008,83,-39.4132,-1.681983969,3.239319005,33.98393195,63.728,1.193341956,11.584996,-0.864032501,14.719,2.659326048,47.2,0.044491525
Honduras,HND,2020,274.162118,93.1,83.4,100,-373.0278549,-8.965082233,5.383568901,3.46841178,71.462,1.622836377,10.121763,0.123593387,10.679,2.7065036,91.1,0.021953897
Honduras,HND,2021,44.291045,94.1,85.7,100,-512.6747502,12.56528438,6.20994035,4.480879634,70.123,1.535139668,10.278345,0.027731733,7.94,2.596999092,93.1,0.010741139
Honduras,HND,2022,105.378029,94.4,86.8,100,-737.7360788,4.14356194,6.820087245,9.089639115,70.728,1.492118559,10.43286,-0.026023483,7.037,2.534459169,94.1,0.003188098
India,IND,2020,277.941853,96.5,95.2,99,-53239.69739,-5.777724707,6.997358393,6.623436776,70.15,0.955220858,1396.387127,0.259976035,7.859,2.263634557,95.9,0.006256517
India,IND,2021,401.641684,99.6,99.3,100,-27488.54312,9.689592492,8.087993803,5.131407472,67.24,0.797216094,1407.563842,0.07698407,6.38,2.125468465,96.5,0.032124352
India,IND,2022,1199.070462,99.2,99.3,100,-35408.00869,6.987039326,9.199567739,6.699034141,67.744,0.680372581,1417.173173,-0.06379522,4.822,2.024671217,99.6,-0.004016064
Indonesia,IDN,2020,162.534427,97,93.5,99.6,-14142.47396,-2.065511829,11.85694333,1.920968006,68.808,0.840389268,271.85797,-0.661230199,4.255,2.005320259,98.9,-0.019211325
Indonesia,IDN,2021,322.380941,99.2,98.2,99.9,-17286.35413,3.702885628,12.89710314,1.560129905,67.57,0.694717688,273.753191,-0.813402954,3.827,1.834015854,97,0.022680412
Indonesia,IDN,2022,850.358537,100,98.2,100,-18067.20797,5.307419348,14.44564316,4.209463834,68.25,0.636555115,275.501339,-0.882772358,3.462,1.754389675,99.2,0.008064516
"Iran, Islamic Rep.",IRN,2020,77.2722146,100,100,100,1192.352179,3.330288459,14.18035331,30.59413904,74.832,0.835176148,87.290193,-1.147034724,9.687,1.473791895,100,0
