country,year,electricity_aid,id,electricity_access,rural_electricity_access,urban_electricity_access,fdi,gdp,gdp_per_capita,inflation,life_expectancy,popu_growth,popu_total,rural_popu_growth,urban_popu_growth,unemployment
Dominica,2020,2,DMA,100,100,100,-23.22365356,-16.60410952,12.74386389,-0.727116413,73.649,0.790672283,0.071995,-0.254312654,,1.21878413
Dominica,2021,0.3795,DMA,100,100,100,-26.00831707,6.890549417,14.47228586,1.48319445,72.814,0.577535935,0.072412,-0.486431474,,1.007006954
Dominica,2022,0.3795,DMA,100,100,100,-18.37710307,5.583546263,16.28316403,7.780615252,72.981,0.447816441,0.072737,-0.619886725,,0.872409265
Dominican Republic,2019,429.138626,DOM,99,96.3,99.6,-3021,5.05216802,19.74340045,1.81060377,73.577,1.074974829,10.881882,-2.990454325,6.356,2.000682301
Dominican Republic,2020,6.608446,DOM,100,100,100,-2559.6,-6.720239373,19.08535362,3.781031799,72.889,1.076552247,10.999664,-2.920425291,6.126,1.942914555
Dominican Republic,2021,20.765575,DOM,98.1,94.8,98.8,-3196.8,12.27199023,21.92330194,8.24300348,72.615,1.068926667,11.117873,-2.861851473,7.702,1.880982794
Dominican Republic,2022,195.491475,DOM,98.1,95,98.8,-4098.8,4.858324036,24.36389337,8.811092093,74.17,0.992978305,11.228821,-2.863102342,5.504,1.753181432
Ecuador,2019,346.489794,ECU,99.1,97.8,99.8,-979.3834962,0.165403533,12.54032512,0.266012515,77.297,1.909683263,17.34374,1.452581624,3.812,2.167881184
Ecuador,2020,322.461687,ECU,98.9,97.4,99.7,-1095.103901,-9.245096377,11.49892887,-0.338872393,72.153,1.401904626,17.588595,0.900836063,6.127,1.682826688
Ecuador,2021,47.615739,ECU,100,100,100,-648.5671509,9.818417748,13.45200877,0.133251386,73.67,1.182063375,17.797737,0.636395805,4.552,1.485504897
Ecuador,2022,151.664493,ECU,100,100,100,-880.2948035,6.186139073,15.11727063,3.466169722,77.894,1.135599752,18.001,0.547440268,3.761,1.459802764
"Egypt, Arab Rep.",2019,741.455035,EGY,100,100,100,-8605.068,5.552093071,13.60849971,9.152799593,71.358,1.794002125,105.618671,1.748613156,7.851,1.854868207
"Egypt, Arab Rep.",2020,323.884269,EGY,100,100,100,-5525.3,3.550164839,15.49407882,5.04493289,70.99,1.733129572,107.465134,1.640542893,7.974,1.857087004
"Egypt, Arab Rep.",2021,442.656678,EGY,100,100,100,-4755.3,3.290646012,15.82067138,5.214049405,70.221,1.658383679,109.262178,1.520216541,7.441,1.842867363
"Egypt, Arab Rep.",2022,750.238808,EGY,100,100,100,-11058.1,6.587845609,17.76922374,13.89566098,70.159,1.56907383,110.990103,1.385138878,7.344,1.813746863
El Salvador,2019,0.149721,SLV,97.4,93.6,98.8,-635.7633484,2.437471591,9.666802079,0.075324135,72.559,0.061720733,6.280217,-2.556532206,4.17,1.060564674
El Salvador,2020,0.109742,SLV,99.7,100,99.1,-2.775428358,-7.89310136,9.306030302,-0.371590212,71.061,0.19906237,6.292731,-2.395355262,5.008,1.153976141
El Salvador,2021,0.215998,SLV,97.9,94.1,99.2,-373.3712876,11.9047617,10.70975958,3.466925853,70.748,0.340068122,6.314167,-2.230731428,4.327,1.253590142
El Salvador,2022,0.391998,SLV,100,100,100,-141.5954766,2.799552169,11.74343733,7.198616156,71.475,0.351368234,6.336392,-2.188145494,2.999,1.223189558
Eswatini,2019,4.983496,SWZ,77,72.9,90,-107.0612283,2.692168273,9.083437861,2.598016203,60.549,0.788402228,1.169613,0.549233189,29.049,1.550362947
Eswatini,2020,4.983496,SWZ,80,76.1,92.3,-51.09662653,-1.55964259,9.07723198,,59.692,0.939644436,1.180655,0.689419439,34.232,1.728736141
Eswatini,2021,0.404104,SWZ,82.9,79.1,94.6,-54.32116908,10.68369388,10.20250961,,57.066,0.979052258,1.192271,0.717530297,35.707,1.795086063
Eswatini,2022,13.389742,SWZ,82.3,81.6,86.1,-35.06131244,0.47576934,10.88700387,,56.36,0.785236419,1.20167,0.511263374,37.852,1.630781685
Ethiopia,2019,225.258148,ETH,48,36,92.7,-2548.743427,8.364085699,2.274214139,15.80963217,65.838,2.656010133,114.120594,2.071242598,2.945,4.856728303
Ethiopia,2020,115.779399,ETH,51.1,39.4,93.5,-2395.799881,6.059530886,2.442252484,20.35634686,65.371,2.654859156,117.190911,2.056436253,4.024,4.845067621
Ethiopia,2021,101.580705,ETH,54.2,42.8,94.3,-4259.445795,5.641530717,2.628343464,26.83952216,64.975,2.604319283,120.283026,1.990730093,3.935,4.788180355
Ethiopia,2022,357.555273,ETH,55,43,94,-3669.991332,5.321176284,2.888736492,33.88987971,65.645,2.542089203,123.379924,1.914367621,3.493,4.714586798
Fiji,2019,6.254264,FJI,96.1,94.8,97.1,-358.4524585,-0.580504495,13.16837118,1.773101825,67.893,-0.057797147,0.918465,-1.211802422,4.38,0.83071645
Fiji,2020,5.187903,FJI,97.1,96.9,97.3,-225.9165625,-17.03987084,11.1686399,-2.595243259,67.924,0.21284622,0.920422,-0.942916449,4.623,1.084786284
Fiji,2021,0.84414,FJI,92.1,86.8,96,-377.6918694,-4.881036196,10.59391273,0.155855722,67.114,0.453976646,0.92461,-0.705902086,4.678,1.311501626
Fiji,2022,3.426662,FJI,92,86.8,97.6,-86.91043914,20.01646416,13.53419431,4.520192664,68.312,0.55609146,0.929766,-0.607615913,4.481,1.399308402
"Gambia, The",2019,14.849177,GMB,62.1,,78.6,-72.71,6.22205316,2.371492041,7.115676256,63.755,2.582686766,2.508883,0.8612988,4.532,3.655721232
"Gambia, The",2020,9.347576,GMB,62.2,31,80.9,-193.06,0.591487288,2.473519768,5.931276366,62.612,2.56215325,2.573995,0.837228935,5.858,3.607885889
"Gambia, The",2021,25.318156,GMB,63.7,31.2,82.6,-251.8226288,5.255968794,2.710552463,7.370347589,62.083,2.52879318,2.639916,0.803605068,6.206,3.546248166
"Gambia, The",2022,169.831836,GMB,65.4,31.2,82.8,-231.488,4.917821309,2.9697572,11.51311984,62.906,2.472147488,2.705992,0.744358437,6.082,3.463684796
Georgia,2019,9.832424,GEO,100,100,100,-1072.558552,5.380719266,16.77013338,4.852898217,73.47,-0.17156574,3.720161,-1.160313062,11.565,0.520212544
Georgia,2020,0.102945,GEO,100,100,100,-572.3967341,-6.290471785,16.79125987,5.20246489,72.765,0.068656249,3.722716,-0.947171275,11.73,0.767418224
Georgia,2021,104.565998,GEO,100,100,99.9,-930.7419996,10.64423366,18.9156534,9.566914338,71.694,-0.379636607,3.70861,-1.418405768,11.794,0.322666414
Georgia,2022,177.39395,GEO,100,100,100,-1766.267912,10.95853214,22.44278672,11.89816542,71.587,0.104889951,3.712502,-0.959845542,11.657,0.812214346
Ghana,2019,21.083005,GHA,83.5,70,93.8,-3292.065421,6.507774794,5.952403657,7.143640033,64.74,2.088931184,31.52229,0.605517789,3.156,3.236444646
Ghana,2020,10.545926,GHA,85.4,73.1,94.6,-1333.368957,0.513941671,5.99231759,9.887289563,64.114,2.066268801,32.180401,0.572246227,3.285,3.192042501
Ghana,2021,37.449768,GHA,86.3,74,95.2,-2413.884871,5.076466435,6.5442382,9.971088675,63.795,2.00774487,32.833031,0.505341525,3.338,3.110640633
Ghana,2022,78.325494,GHA,85.1,71.6,95,-1472.56963,3.817504621,7.132783653,31.2558951,63.945,1.938982944,33.47587,0.428164103,3.084,3.019610067
Grenada,2019,0.237373,GRD,93,,,-184.1712973,0.676511739,15.54249156,0.598149765,74.863,0.724563813,0.122724,0.529217302,,1.066856844
Grenada,2020,0.028106,GRD,93.4,,,-163.9355429,-13.75662226,13.51081442,-0.740732597,74.924,0.762219229,0.123663,0.540448622,,1.148593596
Grenada,2021,NA,GRD,93.7,,,-161.5927042,4.687478169,14.32555485,1.219511939,74.936,0.762873605,0.12461,0.515995705,,1.190241427
Grenada,2022,NA,GRD,94.2,,,-144.3726759,7.320740616,16.34817022,2.580539259,75.335,0.662275264,0.125438,0.387151131,,1.135164957
Guatemala,2019,NA,GTM,95.4,93.5,97.2,-796.28707,4.017897934,11.07962731,3.69998398,73.129,1.560386048,16.604026,0.77069607,2.193,2.31165941
Guatemala,2020,NA,GTM,96.6,95.8,97.4,-782.62048,-1.791857695,11.27078233,3.214440622,71.797,1.519987854,16.858333,0.699106194,2.953,2.288806327
Guatemala,2021,0.122147,GTM,97.9,98.1,97.6,-2985.58877,8.002408036,12.10642254,4.261051274,69.237,1.480316806,17.109746,0.627500193,2.174,2.266255112
Guatemala,2022,0.124297,GTM,99.1,98.2,97.7,-718.76081,4.118004169,13.29960235,6.885128233,68.674,1.439868495,17.357886,0.554381887,3.051,2.242452955
