country,id,year,electricity_access,rural_electricity_access,urban_electricity_access,fdi,gdp,gdp_per_capita,inflation,life_expectancy,popu_growth,popu_total,rural_popu_growth,urban_popu_growth,unemployment
Kosovo,XKX,2019,,,,-211.1428702,4.75680057,10.8611321,2.675992026,79.022,-0.457730006,1.788878,,,
Kosovo,XKX,2020,,,,-326.127458,-5.340275478,10.53261137,0.198227923,76.567,0.070131109,1.790133,,,
Kosovo,XKX,2021,,,,-382.1520615,10.74565608,12.36270481,3.353691392,76.806,-0.229015994,1.786038,,,
Kosovo,XKX,2022,,,,-580.5797355,4.278498508,13.9394565,11.58051045,79.524,-1.010215326,1.768086,,,
Kuwait,KWT,2019,100,100,100,4163.565127,1.38146368,49.93912478,1.091848027,79.685,2.829852402,4.4411,,2.239,2.829852402
Kuwait,KWT,2020,100,100,100,3711.9747590556203,-5.274020605,40.50939835,2.101729548,76.92,-1.832820647,4.360444,,3.535,-1.832820647
Kuwait,KWT,2021,100,100,100,-1968.628399,1.69762483,49.66899747,3.423629476,78.673,-2.562808093,4.250114,,2.997,-2.562808093
Kuwait,KWT,2022,100,100,100,23796.28353,6.138252785,56.1817077,3.98064962,80.264,0.440405187,4.268873,,2.124,0.440405187
Kyrgyz Republic,KGZ,2019,99.9,99.9,99.8,-336.6598,4.600625657,5.414327153,1.133622577,71.6,2.08787614,6.4562,1.710098237,4.252,2.745930809
Kyrgyz Republic,KGZ,2020,99.9,99.9,99.8,582.4052,-7.148977577,5.294015746933249,6.325422963,71.8,1.897863823,6.5799,1.479061527,4.63,2.619484054
Kyrgyz Republic,KGZ,2021,99.7,99.6,99.8,-560.7225,5.507007627,5.802388972,11.90503982,71.9,2.898362886,6.7734,2.438042506,4.096,3.682120672
Kyrgyz Republic,KGZ,2022,99.7,99.6,100,-509.461,8.9675052,6.572382761384151,13.92290932,72.04878049,2.931481417,6.9749,2.429062743,4.055,3.775906678
Lao PDR,LAO,2019,98.4,97.6,99.9,-755.5241242,5.457735092,7.770686247,3.322558813,68.138,1.495404815,7.212053,0.504294758,2.528,3.310059924
Lao PDR,LAO,2020,99.3,99,99.9,-967.7060862,0.503031829,7.9427225987312005,5.10407263,68.497,1.47745666,7.319399,0.470138668,2.314,3.270805552
Lao PDR,LAO,2021,100,100,100,-1071.913716,2.528351005,8.111056067,3.755620367,68.061,1.433214065,7.425057,0.409309689,1.997,3.205785518
Lao PDR,LAO,2022,100,100,100,-635.807276,2.707426526,8.793557551,22.95622251,68.999,1.396495684,7.529475,0.355601032,1.209,3.148815865
Late-demographic dividend,LTE,2019,99.33565367,99.80386401,99.9346871,,4.650998891,18.97238862,2.161762581,76.99116877,0.461696375,2310.338402,-1.793104827,5.189043412,1.818254221
Late-demographic dividend,LTE,2020,99.39267776,99.90301276,99.91861444,,0.199854475,19.23665036,1.936941267,76.72040173,0.341714183,2318.233156,-1.886140894,5.928785936,1.634520099
Late-demographic dividend,LTE,2021,99.41669,99.89232166,99.90847912,,7.449584002,21.90572134,3.495057574,76.36781723,0.213610956,2323.185156,-1.980673372,5.5093142,1.442827545
Late-demographic dividend,LTE,2022,99.48251755,99.89191064,99.93393542,,3.177512741,24.14604275,8.518197035,77.09815468,0.092248265,2325.328254,-2.110773765,5.205297798,1.284710737
Latin America & Caribbean,LCN,2019,98.00152664,91.3474652,99.60012281,,0.718740959,17.169513151213103,2.252121914,75.03834826,0.886076653,645.293844,-0.355452271,8.016580347,1.184138704
